Year Quarter.no Area Predator.no Size.model Predator.length.class Predator.length Predator.length.mean  Predator.size Prey.no Prey.length.class Prey.length.mean Prey.weight Prey.size size.ratio N.haul stomcon stomcon.input use_like use_avail stom.type  Y YQ YQP YQPL YQPLP YQPLPL
1981 1 1 1 0 15 500 500 5 0 0 9999 -1 -1 -0.2 50 0.951788 0.951748 1 1 1 1 1 1 1 1 0
1981 1 1 1 0 15 500 500 5 16 9 110 0.01423 0.01423 0.002846 50 0.0104919 0.0104914 1 1 1 1 1 1 1 2 9
1981 1 1 1 0 15 500 500 5 17 9 115 0.01249 0.01249 0.002498 50 0.011551 0.0115505 1 1 1 1 1 1 1 3 9
1981 1 1 1 0 15 500 500 5 21 8 90 0.0066 0.0066 0.00132 50 4.223e-05 4.223e-05 0 0 1 1 1 1 1 4 8
1981 1 1 1 0 15 500 500 5 21 9 126 0.01912 0.01912 0.003824 50 0.00711785 0.0028118 1 1 1 1 1 1 1 4 9
1981 1 1 1 0 15 500 500 5 21 10 163 0.04229 0.04229 0.008458 50 0 0.00430575 0 1 1 1 1 1 1 4 10
1981 1 1 1 0 15 500 500 5 24 8 88 0.00714 0.00714 0.001428 50 0.0117956 0.00132062 1 1 1 1 1 1 1 5 8
1981 1 1 1 0 15 500 500 5 24 9 107 0.01305 0.01305 0.00261 50 0 0.0104745 0 1 1 1 1 1 1 5 9
1981 1 1 1 0 15 500 500 5 25 7 56 0.00152 0.00152 0.000304 50 0.00725587 0.0008827 1 1 1 1 1 1 1 6 7
1981 1 1 1 0 15 500 500 5 25 8 80 0.00467 0.00467 0.000934 50 0 0.00426226 0 1 1 1 1 1 1 6 8
1981 1 1 1 0 15 500 500 5 25 9 100 0.00914 0.00914 0.001828 50 0 0.0021106 0 1 1 1 1 1 1 6 9
1981 1 1 2 0 15 500 500 5 0 0 9999 -1 -1 -0.2 50 0.0403852 0.0403852 1 1 1 1 1 2 2 7 0
1981 1 1 2 0 15 500 500 5 17 9 130 0.01794 0.01794 0.003588 50 0.0889451 0.0113076 1 1 1 1 1 2 2 8 9
1981 1 1 2 0 15 500 500 5 17 10 166 0.03718 0.03718 0.007436 50 0 0.0353542 0 1 1 1 1 2 2 8 10
1981 1 1 2 0 15 500 500 5 17 11 212 0.07524 0.07524 0.015048 50 0 0.0422833 0 1 1 1 1 2 2 8 11
1981 1 1 2 0 15 500 500 5 18 9 131 0.01781 0.01781 0.003562 50 0.0159745 0.00318619 1 1 1 1 1 2 2 9 9
1981 1 1 2 0 15 500 500 5 18 10 166 0.03504 0.03504 0.007008 50 0 0.0127883 0 1 1 1 1 2 2 9 10
1981 1 1 2 0 15 500 500 5 21 8 87 0.00594 0.00594 0.001188 50 0.273686 0.00353512 1 1 1 1 1 2 2 10 8
1981 1 1 2 0 15 500 500 5 21 9 126 0.01911 0.01911 0.003822 50 0 0.189316 0 1 1 1 1 2 2 10 9
1981 1 1 2 0 15 500 500 5 21 10 150 0.03201 0.03201 0.006402 50 0 0.0808345 0 1 1 1 1 2 2 10 10
1981 1 1 2 0 15 500 500 5 22 8 86 0.00186 0.00186 0.000372 50 0.197901 0.0179241 1 1 1 1 1 2 2 11 8
1981 1 1 2 0 15 500 500 5 22 9 115 0.00482 0.00482 0.000964 50 0 0.141661 0 1 1 1 1 2 2 11 9
1981 1 1 2 0 15 500 500 5 22 10 159 0.01305 0.01305 0.00261 50 0 0.0383161 0 1 1 1 1 2 2 11 10
1981 1 1 2 0 15 500 500 5 23 8 86 0.00186 0.00186 0.000372 50 0.197901 0.0179241 1 1 1 1 1 2 2 12 8
1981 1 1 2 0 15 500 500 5 23 9 115 0.00482 0.00482 0.000964 50 0 0.141661 0 1 1 1 1 2 2 12 9
1981 1 1 2 0 15 500 500 5 23 10 159 0.01305 0.01305 0.00261 50 0 0.0383161 0 1 1 1 1 2 2 12 10
1981 1 1 2 0 15 500 500 5 25 7 56 0.00152 0.00152 0.000304 50 0.185206 0.0119955 1 1 1 1 1 2 2 13 7
1981 1 1 2 0 15 500 500 5 25 8 80 0.00467 0.00467 0.000934 50 0 0.0574403 0 1 1 1 1 2 2 13 8
1981 1 1 2 0 15 500 500 5 25 9 111 0.01284 0.01284 0.002568 50 0 0.115771 0 1 1 1 1 2 2 13 9
1981 1 1 3 0 15 500 500 5 0 0 9999 -1 -1 -0.2 50 0.940661 0.940661 1 1 1 1 1 3 3 14 0
1981 1 1 3 0 15 500 500 5 17 9 115 0.01249 0.01249 0.002498 50 0.0138577 0.0138577 1 1 1 1 1 3 3 15 9
1981 1 1 3 0 15 500 500 5 18 9 116 0.01264 0.01264 0.002528 50 0.0141616 0.0141616 1 1 1 1 1 3 3 16 9
1981 1 1 3 0 15 500 500 5 21 10 163 0.04201 0.04201 0.008402 50 0.00845566 0.0016167 1 1 1 1 1 3 3 17 10
1981 1 1 3 0 15 500 500 5 21 11 222 0.10799 0.10799 0.021598 50 0 0.00481218 0 1 1 1 1 3 3 17 11
1981 1 1 3 0 15 500 500 5 21 12 258 0.1725 0.1725 0.0345 50 0 0.00202678 0 1 1 1 1 3 3 17 12
1981 1 1 3 0 15 500 500 5 24 8 88 0.00714 0.00714 0.001428 50 0.0141511 0.0015844 1 1 1 1 1 3 3 18 8
